facility_1_id,facility_1_name,facility_1_type,facility_1_district,facility_2_id,facility_2_name,facility_2_type,facility_2_district,distance_km
1,A.C Opticals,Clinic,Blantyre,1290,Thejopal Rotta. S,Clinic,Blantyre,3.4540899727681977
1,A.C Opticals,Clinic,Blantyre,1706,Homecare,Clinic,Blantyre,4.1673783396667385
1,A.C Opticals,Clinic,Blantyre,327,Dr. Kidys,Hospital,Blantyre,2.825520876869325
1,A.C Opticals,Clinic,Blantyre,76,Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Clinic,Blantyre,2.786503826774509
1,A.C Opticals,Clinic,Blantyre,829,City Health Clinic,Clinic,Blantyre,2.3893727115009775
1,A.C Opticals,Clinic,Blantyre,433,Medicare,Clinic,Blantyre,2.7802748816903464
1,A.C Opticals,Clinic,Blantyre,963,Joyce Munthali Private Hospital,Hospital,Blantyre,2.3832034339224033
1,A.C Opticals,Clinic,Blantyre,895,Monekera,Clinic,Blantyre,4.562620736766454
1,A.C Opticals,Clinic,Blantyre,970,Mwai Medical Pvt Clinic,Clinic,Blantyre,3.0861568835141147
1,A.C Opticals,Clinic,Blantyre,1351,Wehmat,Clinic,Blantyre,2.1398781390478816
1,A.C Opticals,Clinic,Blantyre,971,Mwai medical clinic,Clinic,Blantyre,2.6379997010913687
1,A.C Opticals,Clinic,Blantyre,75,Blantyre Dream Project (Mandala),Health Centre,Blantyre,2.059556878802261
1,A.C Opticals,Clinic,Blantyre,354,Elim Private Clinic,Clinic,Blantyre,2.819950182621687
1,A.C Opticals,Clinic,Blantyre,93,BLM Zingwangwa Clinic,Clinic,Blantyre,2.8367525202652226
1,A.C Opticals,Clinic,Blantyre,1219,Shifa Private Hospital,Clinic,Blantyre,2.5332286472619656
1,A.C Opticals,Clinic,Blantyre,1655,Naperi,Dispensary,Blantyre,2.1408007094724777
1,A.C Opticals,Clinic,Blantyre,1392,MACRO Chirimba,Clinic,Blantyre,6.492284847716275
1,A.C Opticals,Clinic,Blantyre,382,Gateway Dispensary,Dispensary,Blantyre,1.3980267868873713
1,A.C Opticals,Clinic,Blantyre,1185,PVHO Private Clinic,Clinic,Blantyre,2.001406474798429
1,A.C Opticals,Clinic,Blantyre,222,Chinjobvu clinic,Clinic,Blantyre,7.126315635047159
1,A.C Opticals,Clinic,Blantyre,1649,Chirimba,Dispensary,Blantyre,6.404859335169373
1,A.C Opticals,Clinic,Blantyre,1368,Zingwangwa private clinic,Clinic,Blantyre,2.5124437623079396
1,A.C Opticals,Clinic,Blantyre,444,Kachere Rehabilitation,Hospital,Blantyre,1.3186150215979842
1,A.C Opticals,Clinic,Blantyre,1648,Blantyre,Health Centre,Blantyre,1.479900005203876
1,A.C Opticals,Clinic,Blantyre,973,Mwaiwathu,Hospital,Blantyre,2.1382360786390886
1,A.C Opticals,Clinic,Blantyre,939,Mtengoumodzi,Hospital,Blantyre,8.520995940006014
1,A.C Opticals,Clinic,Blantyre,57,Beit Cure,Hospital,Blantyre,1.391057498129403
1,A.C Opticals,Clinic,Blantyre,1285,Thandizo Clinic,Clinic,Blantyre,6.454162029521877
1,A.C Opticals,Clinic,Blantyre,1273,Sunganis Medical Centre,Clinic,Blantyre,8.048828261435615
1,A.C Opticals,Clinic,Blantyre,345,Ebenezer private clinic,Clinic,Blantyre,6.0218868696539385
1,A.C Opticals,Clinic,Blantyre,1186,Queen Elizabeth Central Hospital,Central Hospital,Blantyre,0.9919059150638053
1,A.C Opticals,Clinic,Blantyre,1226,Soche SDA Clinic,Unclassified,Blantyre,1.4966473774436198
1,A.C Opticals,Clinic,Blantyre,259,Gombwa,Hospital,Blantyre,1.6341584913931848
1,A.C Opticals,Clinic,Blantyre,735,Polytechnic,Clinic,Blantyre,0.37949402315237224
1,A.C Opticals,Clinic,Blantyre,114,SOBO,Clinic,Blantyre,1.1119508023352598
1,A.C Opticals,Clinic,Blantyre,188,Chirimba,Health Centre,Blantyre,6.010686469797494
1,A.C Opticals,Clinic,Blantyre,152,Chichiri ESCOM Clinic,Clinic,Blantyre,0.9429913374370615
1,A.C Opticals,Clinic,Blantyre,1225,Soche Clinic,Health Centre,Blantyre,6.372161849652173
1,A.C Opticals,Clinic,Blantyre,599,Lafarge Cement Clinic,Clinic,Blantyre,0.8784312536179566
1,A.C Opticals,Clinic,Blantyre,1136,Nyambadwe,Hospital,Blantyre,3.2627241982357362
1,A.C Opticals,Clinic,Blantyre,768,Mapeto,Clinic,Blantyre,1.1119508023352598
1,A.C Opticals,Clinic,Blantyre,1178,Portland Cement Clinic,Clinic,Blantyre,1.1119508023352598
1,A.C Opticals,Clinic,Blantyre,1060,BLM Ndirande clinic,Clinic,Blantyre,2.9323834318608113
1,A.C Opticals,Clinic,Blantyre,1224,Magita Private Clinic,Clinic,Blantyre,1.1119508023352598
1,A.C Opticals,Clinic,Blantyre,1061,Ndirande,Health Centre,Blantyre,2.6371665327343683
1,A.C Opticals,Clinic,Blantyre,700,Madinah social services - Ndirande,Clinic,Blantyre,2.7962725817387373
1,A.C Opticals,Clinic,Blantyre,77,Blantyre Water Board - Mudi,Clinic,Blantyre,1.01295848421615
1,A.C Opticals,Clinic,Blantyre,153,Chichiri Prison Clinic,Clinic,Blantyre,0.6918708748554168
1,A.C Opticals,Clinic,Blantyre,1310,Tilinanu ,Clinic,Blantyre,2.924554736922036
1,A.C Opticals,Clinic,Blantyre,411,Henred,Clinic,Blantyre,1.3166288065667384
1,A.C Opticals,Clinic,Blantyre,74,City assembly,Clinic,Blantyre,1.0699390698256346
1,A.C Opticals,Clinic,Blantyre,831,Merit Clinic,Clinic,Blantyre,2.7415075915930553
1,A.C Opticals,Clinic,Blantyre,160,Chogeli clinic,Clinic,Blantyre,4.870179089731027
1,A.C Opticals,Clinic,Blantyre,872,L and A,Clinic,Blantyre,3.2996620951256395
1,A.C Opticals,Clinic,Blantyre,621,Limbe,Clinic,Blantyre,2.9978181894037097
1,A.C Opticals,Clinic,Blantyre,622,Limbe Home Based Care,Clinic,Blantyre,3.0178347356023423
1,A.C Opticals,Clinic,Blantyre,494,Kanjedza Medical Clinic,Clinic,Blantyre,2.4114905845748638
1,A.C Opticals,Clinic,Blantyre,1235,South Lunzu,Health Centre,Blantyre,8.560353112562577
1,A.C Opticals,Clinic,Blantyre,495,Kanjeza Police dispensary,Dispensary,Blantyre,2.6427469165983504
1,A.C Opticals,Clinic,Blantyre,972,Proff Mbvundula,Clinic,Blantyre,2.3266731593249985
1,A.C Opticals,Clinic,Blantyre,368,Family Health clinic,Clinic,Blantyre,2.302463366636658
1,A.C Opticals,Clinic,Blantyre,775,Masm Medi - Limbe,Clinic,Blantyre,3.0228303534796623
1,A.C Opticals,Clinic,Blantyre,732,Malamulo day Amina,Clinic,Blantyre,4.800467459859034
1,A.C Opticals,Clinic,Blantyre,1028,Namboya Felix,Clinic,Blantyre,3.674365913064413
1,A.C Opticals,Clinic,Blantyre,623,Limbe Leaf Clinic,Clinic,Blantyre,4.57463355758743
1,A.C Opticals,Clinic,Blantyre,1320,Truzag Clinic,Clinic,Blantyre,3.2317676888050904
1,A.C Opticals,Clinic,Blantyre,118,Railways Private Clinic,Clinic,Blantyre,3.9509983078518007
1,A.C Opticals,Clinic,Blantyre,620,Diagnostics,Clinic,Blantyre,3.501883500546873
1,A.C Opticals,Clinic,Blantyre,583,"Khuoge, Dane",Clinic,Blantyre,6.023873217108062
1,A.C Opticals,Clinic,Blantyre,962,"Munthali Ndalakwanji, N, Pra",Clinic,Blantyre,8.348305354064975
1,A.C Opticals,Clinic,Blantyre,463,Kalong - Limbe,Hospital,Blantyre,3.277129007019059
1,A.C Opticals,Clinic,Blantyre,328,kampondeni,Hospital,Blantyre,4.290052882518266
1,A.C Opticals,Clinic,Blantyre,40,Auction Holdings Clinic,Clinic,Blantyre,3.889868039009549
1,A.C Opticals,Clinic,Blantyre,1318,Tirzah,Clinic,Blantyre,3.3968885977683327
1,A.C Opticals,Clinic,Blantyre,1215,Semema,Clinic,Blantyre,8.199766986643413
1,A.C Opticals,Clinic,Blantyre,1227,Society Medical Clinic,Clinic,Blantyre,8.796699680853846
1,A.C Opticals,Clinic,Blantyre,1232,Miracle Private Clinic ,Clinic,Blantyre,8.805152245009813
1,A.C Opticals,Clinic,Blantyre,626,LMJ Diagnostic centre,Clinic,Blantyre,3.9048235239193696
1,A.C Opticals,Clinic,Blantyre,63,Kachale,Clinic,Blantyre,5.151801981952246
1,A.C Opticals,Clinic,Blantyre,630,Limbe Muslim Jamat Limbe,Clinic,Blantyre,3.9048235239193696
1,A.C Opticals,Clinic,Blantyre,1657,Sos,Health Centre,Blantyre,8.795385083453553
1,A.C Opticals,Clinic,Blantyre,663,Lungu Private Clinic,Clinic,Blantyre,6.197739836302218
1,A.C Opticals,Clinic,Blantyre,1654,Mthunzi-wathu,Clinic,Blantyre,7.913783019552465
1,A.C Opticals,Clinic,Blantyre,631,Hajira,Clinic,Blantyre,4.823262440325555
1,A.C Opticals,Clinic,Blantyre,1344,Viyuyi Mathews M. Yankho Priv,Clinic,Blantyre,8.173768314557048
1,A.C Opticals,Clinic,Blantyre,629,LMJ,Clinic,Blantyre,3.3968885977683327
1,A.C Opticals,Clinic,Blantyre,625,limbe Medical Clinic,Clinic,Blantyre,3.3968885977683327
1,A.C Opticals,Clinic,Blantyre,628,Limbe Muslim Jamat - Kachere,Clinic,Blantyre,3.3968885977683327
1,A.C Opticals,Clinic,Blantyre,1190,Rapha Pvt Clinic,Clinic,Blantyre,5.464163974293458
1,A.C Opticals,Clinic,Blantyre,296,Come Again,Unclassified,Blantyre,6.083730112471462
1,A.C Opticals,Clinic,Blantyre,49,Bangwe,Health Centre,Blantyre,6.015560764589412
1,A.C Opticals,Clinic,Blantyre,1645,Bangwe,Dispensary,Blantyre,7.266891715988318
1,A.C Opticals,Clinic,Blantyre,301,Dalirani Private Clinic,Clinic,Blantyre,6.080448017857514
1,A.C Opticals,Clinic,Blantyre,1319,Trumate,Clinic,Blantyre,5.918409360991618
1,A.C Opticals,Clinic,Blantyre,1720,Makwasa,Clinic,Blantyre,7.929129275435055
1,A.C Opticals,Clinic,Blantyre,1276,Tadala Private Clinic,Clinic,Blantyre,6.955093556436014
1,A.C Opticals,Clinic,Blantyre,726,Promedence ,Clinic,Blantyre,7.739682967417733
1,A.C Opticals,Clinic,Blantyre,1386,Bangwe Madina Health Centre,Health Centre,Blantyre,6.7440657144703255
1,A.C Opticals,Clinic,Blantyre,87,Midima BLM,Dispensary,Chiradzulu,6.381787228675476
1,A.C Opticals,Clinic,Blantyre,588,Kotecha Clinic,Clinic,Blantyre,6.121311272169625
1,A.C Opticals,Clinic,Blantyre,2,Akwezeke Pvt,Clinic,Blantyre,7.809386087655952
1,A.C Opticals,Clinic,Blantyre,964,Muopo Private Clinic,Clinic,Blantyre,7.234190158192362
1,A.C Opticals,Clinic,Blantyre,3,Abowa,Clinic,Blantyre,7.809386087655952
1,A.C Opticals,Clinic,Blantyre,528,Kasamba Private Clinic,Clinic,Blantyre,7.809386087655952
1,A.C Opticals,Clinic,Blantyre,34,Chitekwe,Health Centre,Blantyre,7.809386087655952
1,A.C Opticals,Clinic,Blantyre,262,Chitekwe Arthur D. Arthur Gar,Clinic,Blantyre,7.755917343854365
1,A.C Opticals,Clinic,Blantyre,1334,Umunthu Foundation private Clinic,Clinic,Blantyre,8.710084581851982
1,A.C Opticals,Clinic,Blantyre,1017,Namakhwa,Clinic,Chiradzulu,9.995368551862944
2,Akwezeke Pvt,Clinic,Blantyre,163,Chigumula Clinic,Clinic,Blantyre,6.419280587264452
2,Akwezeke Pvt,Clinic,Blantyre,1388,Bvumbwe Research Health Centre,Health Centre,Thyolo,6.078170083904066
2,Akwezeke Pvt,Clinic,Blantyre,897,MOTAL-ENGIL 301CLINIC,Dispensary,Mwanza,9.896282561647523
2,Akwezeke Pvt,Clinic,Blantyre,1173,Evangelical,Clinic,Blantyre,5.957096388369909
2,Akwezeke Pvt,Clinic,Blantyre,659,Mdziwika Clinic,Clinic,Thyolo,9.08384135753659
2,Akwezeke Pvt,Clinic,Blantyre,816,Germa Private clinic,Clinic,Thyolo,5.920237335444208
2,Akwezeke Pvt,Clinic,Blantyre,412,Hiwa Clinic,Clinic,Thyolo,9.665207194762441
2,Akwezeke Pvt,Clinic,Blantyre,180,Chilani,Health Centre,Blantyre,8.991193103100091
2,Akwezeke Pvt,Clinic,Blantyre,194,Chilobwe Private Clinic,Clinic,Blantyre,8.867699717788435
2,Akwezeke Pvt,Clinic,Blantyre,1650,COM,Clinic,Blantyre,9.83038123697648
2,Akwezeke Pvt,Clinic,Blantyre,963,Joyce Munthali Private Hospital,Hospital,Blantyre,9.604819009751878
2,Akwezeke Pvt,Clinic,Blantyre,895,Monekera,Clinic,Blantyre,8.753238750628586
2,Akwezeke Pvt,Clinic,Blantyre,970,Mwai Medical Pvt Clinic,Clinic,Blantyre,8.842469272981512
2,Akwezeke Pvt,Clinic,Blantyre,1351,Wehmat,Clinic,Blantyre,9.645399017445106
2,Akwezeke Pvt,Clinic,Blantyre,971,Mwai medical clinic,Clinic,Blantyre,8.607725705544235
2,Akwezeke Pvt,Clinic,Blantyre,75,Blantyre Dream Project (Mandala),Health Centre,Blantyre,9.850937899772736
2,Akwezeke Pvt,Clinic,Blantyre,354,Elim Private Clinic,Clinic,Blantyre,8.638994190439899
2,Akwezeke Pvt,Clinic,Blantyre,93,BLM Zingwangwa Clinic,Clinic,Blantyre,8.710782921450617
2,Akwezeke Pvt,Clinic,Blantyre,1655,Naperi,Dispensary,Blantyre,8.832779589909814
2,Akwezeke Pvt,Clinic,Blantyre,382,Gateway Dispensary,Dispensary,Blantyre,8.668022785045306
2,Akwezeke Pvt,Clinic,Blantyre,1185,PVHO Private Clinic,Clinic,Blantyre,9.748261059051304
2,Akwezeke Pvt,Clinic,Blantyre,1368,Zingwangwa private clinic,Clinic,Blantyre,8.461684429603057
2,Akwezeke Pvt,Clinic,Blantyre,444,Kachere Rehabilitation,Hospital,Blantyre,8.694322002490017
2,Akwezeke Pvt,Clinic,Blantyre,1648,Blantyre,Health Centre,Blantyre,8.793350929125348
2,Akwezeke Pvt,Clinic,Blantyre,973,Mwaiwathu,Hospital,Blantyre,9.895111273132782
2,Akwezeke Pvt,Clinic,Blantyre,57,Beit Cure,Hospital,Blantyre,8.749030909608006
2,Akwezeke Pvt,Clinic,Blantyre,1186,Queen Elizabeth Central Hospital,Central Hospital,Blantyre,8.497877948143891
2,Akwezeke Pvt,Clinic,Blantyre,1226,Soche SDA Clinic,Unclassified,Blantyre,8.257951156877136
2,Akwezeke Pvt,Clinic,Blantyre,259,Gombwa,Hospital,Blantyre,7.799690744863675
2,Akwezeke Pvt,Clinic,Blantyre,735,Polytechnic,Clinic,Blantyre,7.93445941858921
2,Akwezeke Pvt,Clinic,Blantyre,114,SOBO,Clinic,Blantyre,8.492140987848051
2,Akwezeke Pvt,Clinic,Blantyre,152,Chichiri ESCOM Clinic,Clinic,Blantyre,8.719073706908366
2,Akwezeke Pvt,Clinic,Blantyre,1225,Soche Clinic,Health Centre,Blantyre,6.944227364386274
2,Akwezeke Pvt,Clinic,Blantyre,599,Lafarge Cement Clinic,Clinic,Blantyre,8.48224284955718
2,Akwezeke Pvt,Clinic,Blantyre,768,Mapeto,Clinic,Blantyre,8.492140987848051
2,Akwezeke Pvt,Clinic,Blantyre,1178,Portland Cement Clinic,Clinic,Blantyre,8.492140987848051
2,Akwezeke Pvt,Clinic,Blantyre,1060,BLM Ndirande clinic,Clinic,Blantyre,9.72378730039352
2,Akwezeke Pvt,Clinic,Blantyre,1224,Magita Private Clinic,Clinic,Blantyre,8.492140987848051
2,Akwezeke Pvt,Clinic,Blantyre,1061,Ndirande,Health Centre,Blantyre,8.752913064594667
2,Akwezeke Pvt,Clinic,Blantyre,700,Madinah social services - Ndirande,Clinic,Blantyre,8.983743647173482
2,Akwezeke Pvt,Clinic,Blantyre,77,Blantyre Water Board - Mudi,Clinic,Blantyre,7.451405537488062
2,Akwezeke Pvt,Clinic,Blantyre,153,Chichiri Prison Clinic,Clinic,Blantyre,7.241061176604034
2,Akwezeke Pvt,Clinic,Blantyre,1310,Tilinanu ,Clinic,Blantyre,9.583413877108237
2,Akwezeke Pvt,Clinic,Blantyre,411,Henred,Clinic,Blantyre,8.203791455550448
2,Akwezeke Pvt,Clinic,Blantyre,74,City assembly,Clinic,Blantyre,6.956761830663773
2,Akwezeke Pvt,Clinic,Blantyre,831,Merit Clinic,Clinic,Blantyre,8.36417729140354
2,Akwezeke Pvt,Clinic,Blantyre,160,Chogeli clinic,Clinic,Blantyre,4.923603840646105
2,Akwezeke Pvt,Clinic,Blantyre,872,L and A,Clinic,Blantyre,8.537940830613895
2,Akwezeke Pvt,Clinic,Blantyre,621,Limbe,Clinic,Blantyre,4.825103075533974
2,Akwezeke Pvt,Clinic,Blantyre,622,Limbe Home Based Care,Clinic,Blantyre,4.806290025146257
2,Akwezeke Pvt,Clinic,Blantyre,494,Kanjedza Medical Clinic,Clinic,Blantyre,5.425836184156641
2,Akwezeke Pvt,Clinic,Blantyre,495,Kanjeza Police dispensary,Dispensary,Blantyre,5.193749416295601
2,Akwezeke Pvt,Clinic,Blantyre,972,Proff Mbvundula,Clinic,Blantyre,5.4827133859676795
2,Akwezeke Pvt,Clinic,Blantyre,368,Family Health clinic,Clinic,Blantyre,5.8643062384932945
2,Akwezeke Pvt,Clinic,Blantyre,775,Masm Medi - Limbe,Clinic,Blantyre,4.82479136642053
2,Akwezeke Pvt,Clinic,Blantyre,732,Malamulo day Amina,Clinic,Blantyre,4.364513276672629
2,Akwezeke Pvt,Clinic,Blantyre,1028,Namboya Felix,Clinic,Blantyre,4.239523019429284
2,Akwezeke Pvt,Clinic,Blantyre,623,Limbe Leaf Clinic,Clinic,Blantyre,3.609704847563216
2,Akwezeke Pvt,Clinic,Blantyre,1320,Truzag Clinic,Clinic,Blantyre,4.667716742808772
2,Akwezeke Pvt,Clinic,Blantyre,118,Railways Private Clinic,Clinic,Blantyre,3.957963522484662
2,Akwezeke Pvt,Clinic,Blantyre,620,Diagnostics,Clinic,Blantyre,4.3098083864106576
2,Akwezeke Pvt,Clinic,Blantyre,583,"Khuoge, Dane",Clinic,Blantyre,8.271726422079013
2,Akwezeke Pvt,Clinic,Blantyre,463,Kalong - Limbe,Hospital,Blantyre,4.769920259963025
2,Akwezeke Pvt,Clinic,Blantyre,328,kampondeni,Hospital,Blantyre,3.648876631884182
2,Akwezeke Pvt,Clinic,Blantyre,40,Auction Holdings Clinic,Clinic,Blantyre,4.167026849602072
2,Akwezeke Pvt,Clinic,Blantyre,1318,Tirzah,Clinic,Blantyre,4.62907026209621
2,Akwezeke Pvt,Clinic,Blantyre,626,LMJ Diagnostic centre,Clinic,Blantyre,3.904562598622815
2,Akwezeke Pvt,Clinic,Blantyre,63,Kachale,Clinic,Blantyre,6.881406100856995
2,Akwezeke Pvt,Clinic,Blantyre,630,Limbe Muslim Jamat Limbe,Clinic,Blantyre,3.904562598622815
2,Akwezeke Pvt,Clinic,Blantyre,663,Lungu Private Clinic,Clinic,Blantyre,1.6330128388789809
2,Akwezeke Pvt,Clinic,Blantyre,631,Hajira,Clinic,Blantyre,7.006444934938648
2,Akwezeke Pvt,Clinic,Blantyre,629,LMJ,Clinic,Blantyre,4.62907026209621
2,Akwezeke Pvt,Clinic,Blantyre,625,limbe Medical Clinic,Clinic,Blantyre,4.62907026209621
2,Akwezeke Pvt,Clinic,Blantyre,628,Limbe Muslim Jamat - Kachere,Clinic,Blantyre,4.62907026209621
2,Akwezeke Pvt,Clinic,Blantyre,1190,Rapha Pvt Clinic,Clinic,Blantyre,5.661754543258408
2,Akwezeke Pvt,Clinic,Blantyre,296,Come Again,Unclassified,Blantyre,5.563748618743693
2,Akwezeke Pvt,Clinic,Blantyre,49,Bangwe,Health Centre,Blantyre,2.0663803917725723
2,Akwezeke Pvt,Clinic,Blantyre,1645,Bangwe,Dispensary,Blantyre,0.6853631581876145
2,Akwezeke Pvt,Clinic,Blantyre,301,Dalirani Private Clinic,Clinic,Blantyre,1.9319227221189297
2,Akwezeke Pvt,Clinic,Blantyre,1319,Trumate,Clinic,Blantyre,5.4313048871836305
2,Akwezeke Pvt,Clinic,Blantyre,1276,Tadala Private Clinic,Clinic,Blantyre,0.9287671251551723
2,Akwezeke Pvt,Clinic,Blantyre,1386,Bangwe Madina Health Centre,Health Centre,Blantyre,1.7625773807318845
2,Akwezeke Pvt,Clinic,Blantyre,87,Midima BLM,Dispensary,Chiradzulu,1.4442975636749738
2,Akwezeke Pvt,Clinic,Blantyre,588,Kotecha Clinic,Clinic,Blantyre,5.630359809182364
2,Akwezeke Pvt,Clinic,Blantyre,964,Muopo Private Clinic,Clinic,Blantyre,1.1119508023352598
2,Akwezeke Pvt,Clinic,Blantyre,3,Abowa,Clinic,Blantyre,0.0
2,Akwezeke Pvt,Clinic,Blantyre,528,Kasamba Private Clinic,Clinic,Blantyre,0.0
2,Akwezeke Pvt,Clinic,Blantyre,34,Chitekwe,Health Centre,Blantyre,0.0
2,Akwezeke Pvt,Clinic,Blantyre,262,Chitekwe Arthur D. Arthur Gar,Clinic,Blantyre,0.46429836318640577
2,Akwezeke Pvt,Clinic,Blantyre,1334,Umunthu Foundation private Clinic,Clinic,Blantyre,1.0697274411877147
2,Akwezeke Pvt,Clinic,Blantyre,13,Akasale,Hospital,Chiradzulu,9.343296917302677
2,Akwezeke Pvt,Clinic,Blantyre,1017,Namakhwa,Clinic,Chiradzulu,2.8004630068375085
2,Akwezeke Pvt,Clinic,Blantyre,734,Malavi,Dispensary,Chiradzulu,6.28584414682312
2,Akwezeke Pvt,Clinic,Blantyre,1254,Nguludi,Hospital,Chiradzulu,9.390912268419516
2,Akwezeke Pvt,Clinic,Blantyre,1660,Malavi,Health Centre,Chiradzulu,6.28584414682312
3,Abowa,Clinic,Blantyre,163,Chigumula Clinic,Clinic,Blantyre,6.419280587264452
3,Abowa,Clinic,Blantyre,1388,Bvumbwe Research Health Centre,Health Centre,Thyolo,6.078170083904066
3,Abowa,Clinic,Blantyre,897,MOTAL-ENGIL 301CLINIC,Dispensary,Mwanza,9.896282561647523
3,Abowa,Clinic,Blantyre,1173,Evangelical,Clinic,Blantyre,5.957096388369909
3,Abowa,Clinic,Blantyre,659,Mdziwika Clinic,Clinic,Thyolo,9.08384135753659
3,Abowa,Clinic,Blantyre,816,Germa Private clinic,Clinic,Thyolo,5.920237335444208
3,Abowa,Clinic,Blantyre,412,Hiwa Clinic,Clinic,Thyolo,9.665207194762441
3,Abowa,Clinic,Blantyre,180,Chilani,Health Centre,Blantyre,8.991193103100091
3,Abowa,Clinic,Blantyre,194,Chilobwe Private Clinic,Clinic,Blantyre,8.867699717788435
3,Abowa,Clinic,Blantyre,1650,COM,Clinic,Blantyre,9.83038123697648
3,Abowa,Clinic,Blantyre,963,Joyce Munthali Private Hospital,Hospital,Blantyre,9.604819009751878
3,Abowa,Clinic,Blantyre,895,Monekera,Clinic,Blantyre,8.753238750628586
3,Abowa,Clinic,Blantyre,970,Mwai Medical Pvt Clinic,Clinic,Blantyre,8.842469272981512
3,Abowa,Clinic,Blantyre,1351,Wehmat,Clinic,Blantyre,9.645399017445106
3,Abowa,Clinic,Blantyre,971,Mwai medical clinic,Clinic,Blantyre,8.607725705544235
3,Abowa,Clinic,Blantyre,75,Blantyre Dream Project (Mandala),Health Centre,Blantyre,9.850937899772736
3,Abowa,Clinic,Blantyre,354,Elim Private Clinic,Clinic,Blantyre,8.638994190439899
3,Abowa,Clinic,Blantyre,93,BLM Zingwangwa Clinic,Clinic,Blantyre,8.710782921450617
3,Abowa,Clinic,Blantyre,1655,Naperi,Dispensary,Blantyre,8.832779589909814
3,Abowa,Clinic,Blantyre,382,Gateway Dispensary,Dispensary,Blantyre,8.668022785045306
