name,type,district,status,total_coverage,unique_coverage,overlap_coverage,overlap_pct
Banja la Mtsogolo,Clinic,Dowa,Functional,44240.57542014122,108.31110000610352,44132.26432013512,99.75517700893919
BLM,Clinic,Mzimba,Functional,40002.21173477173,0.0,40002.21173477173,100.0
BLM,Clinic,Mzimba,Functional,194082.9482734464,0.0,194082.9482734464,100.0
Ntcheu BLM,Clinic,Ntcheu,Functional,39545.891634464264,0.0,39545.891634464264,100.0
Banja Lamtsogolo,Clinic,Blantyre,Functional,342315.15500578284,0.0,342315.15500578284,100.0
BLM Zingwangwa Clinic,Clinic,Blantyre,Functional,267929.4134400785,0.0,267929.4134400785,100.0
Bloomfield,Dispensary,Mulanje,Functional,50396.30297613144,0.0,50396.30297613144,100.0
Bolero hospital,Hospital,Rumphi,Functional,22494.753867149353,191.8932065963745,22302.86066055298,99.1469424038615
Bondo health center,Health Centre,Mulanje,Functional,37031.1281876564,0.0,37031.1281876564,100.0
Boulos,Clinic,Lilongwe,Non-functional,397068.6842830144,0.0,397068.6842830144,100.0
Bowa,Clinic,Dedza,Non-functional,17563.121950149536,5486.315935134888,12076.806015014648,68.76229664232231
Bowe,Health Centre,Dowa,Functional,17338.179852485657,0.0,17338.179852485657,100.0
Brothers Private Clinic,Clinic,Dedza,Non-functional,43825.21900320053,0.0,43825.21900320053,100.0
Bua,Health Centre,Kasungu,Functional,27216.50070333481,0.0,27216.50070333481,100.0
Bua,Health Centre,Nkhotakota,Functional,16347.41969551146,3364.6978396326303,12982.72185587883,79.41756006572412
Bula,Health Centre,Nkhata Bay,Functional,1634.9966623783112,0.0,1634.9966623783112,100.0
Bulala,Health Centre,Mzimba,Functional,9833.718822479248,0.0,9833.718822479248,100.0
Buli,Health Post,Lilongwe,Non-functional,96303.68830007315,101.29714965820312,96202.39115041494,99.89481488046172
Bunda campus,Health Centre,Lilongwe,Functional,37237.040293216705,6836.530634880066,30400.50965833664,81.64051014514855
Research,Health Centre,Thyolo,Functional,42514.64168667793,10547.559153556824,31967.08253312111,75.19076079415264
Bottom,District Hospital,Lilongwe,Functional,438476.89905701764,0.0,438476.89905701764,100.0
Bwanje,Health Centre,Ntcheu,Functional,22628.113367795944,16283.129591226578,6344.9837765693665,28.040268640334244
Bwengu,Health Centre,Mzimba,Functional,14286.754418373108,10580.233034133911,3706.521384239197,25.943760742975474
Bwese,Clinic,Lilongwe,Non-functional,28905.31268978119,7774.317018508911,21130.995671272278,73.10419332963195
Care Medical,Clinic,Mzimba,Functional,42959.69157397747,1370.3807110786438,41589.31086289883,96.81007786399299
Care,Clinic,Karonga,Functional,69934.52430868149,0.0,69934.52430868149,100.0
SOBO,Clinic,Blantyre,Functional,370186.98972532153,0.0,370186.98972532153,100.0
Sobo,Clinic,Lilongwe,Non-functional,277956.6580896452,0.0,277956.6580896452,100.0
CCK Health,Dispensary,Lilongwe,Functional,342487.4735389352,0.0,342487.4735389352,100.0
Central 3 clinic,Clinic,Nkhotakota,Functional,34465.25150847435,0.0,34465.25150847435,100.0
Railways Private Clinic,Clinic,Blantyre,Functional,337889.3784277141,0.0,337889.3784277141,100.0
Alinafe,Clinic,Mchinji,Non-functional,26551.540198802948,1015.4866781234741,25536.053520679474,96.17541328856977
Chabvala,Health Centre,Blantyre,Functional,6412.660497069359,5555.269807815552,857.3906892538071,13.37028039525314
Chadza,Health Centre,Lilongwe,Functional,38519.27576255798,32586.84588432312,5932.429878234863,15.401197869876313
Chagoma,Health Post,Mzimba,Functional,10339.94269657135,416.82915210723877,9923.113544464111,95.96874794823131
Tembwe,Health Centre,Salima,Functional,11925.744918584824,11925.744918584824,0.0,0.0
Chakhaza,Health Centre,Dowa,Functional,25143.811180114746,7968.215350151062,17175.595829963684,68.30943689056649
Chama,Clinic,Chikwawa,Non-functional,39025.85326679796,0.0,39025.85326679796,100.0
Vision,Dispensary,Kasungu,Functional,14345.205555915833,3507.5737805366516,10837.63177537918,75.54880780993646
Chamba,Dispensary,Machinga,Functional,33851.43763232231,11850.098559975624,22001.339072346687,64.99381004527615
Chamba,Health Centre,Zomba,Functional,33602.36589896679,0.0,33602.36589896679,100.0
Chambe Health Centre,Health Centre,Mulanje,Functional,50117.02658331394,0.0,50117.02658331394,100.0
Chambo,Health Centre,Chitipa,Functional,5059.851683586836,478.59155201911926,4581.260131567717,90.54139168601371
Champiti,Health Centre,Ntcheu,Functional,18815.425868034363,3046.032699108124,15769.393168926239,83.81098190138206
Chamwabvi,Health Centre,Kasungu,Functional,10471.206288337708,9963.819975852966,507.3863124847412,4.845538312523192
Chanco clinic,Clinic,Zomba,Functional,135158.9204390049,0.0,135158.9204390049,100.0
Chang'ambika,Health Centre,Chikwawa,Functional,10608.126246929169,6629.168842792511,3978.9574041366577,37.50857890938546
Changalume,Health Centre,Zomba,Functional,24494.540061950684,90.40476036071776,24404.135301589966,99.63091872665471
Changata,Health Centre,Thyolo,Functional,46157.85431051254,0.0,46157.85431051254,100.0
Chankhungu,Health Centre,Dowa,Functional,19952.596599578857,11080.581883907318,8872.01471567154,44.465464288787366
Erapecha,Clinic,Chikwawa,Non-functional,37261.54111709446,0.0,37261.54111709446,100.0
Mkadana,Clinic,Chikwawa,Functional,14285.084428548813,8398.262692213058,5886.821736335754,41.20956908431645
Chipwaila Health Centre,Health Centre,Chikwawa,Functional,12987.361488342285,12987.361488342285,0.0,0.0
Charity Fellium Private Maternity Clinic,Clinic,Zomba,Functional,114531.97869187593,0.0,114531.97869187593,100.0
Chapusa,Health Post,Machinga,Functional,32289.540757656097,4298.507203102112,27991.033554553986,86.68761740724695
chavula,Clinic,Zomba,Functional,119724.08942317963,0.0,119724.08942317963,100.0
Chawone,Dispensary,Thyolo,Non-functional,46157.85431051254,0.0,46157.85431051254,100.0
Chawezi private clinic,Clinic,Mchinji,Functional,42680.901151657104,754.0780544281005,41926.823097229004,98.233218994724
Chendo,Health Post,Chitipa,Functional,5246.003185391426,1323.119049668312,3922.884135723114,74.77853133309547
Chesamu,Health Centre,Nkhata Bay,Functional,1436.873132944107,1436.873132944107,0.0,0.0
Chagogo,Clinic,Lilongwe,Non-functional,86304.04150056839,14925.228475093842,71378.81302547455,82.706223004637
Chezi Mission Hospital,Hospital,Dowa,Functional,19615.459225654602,4773.065013408661,14842.394212245941,75.66681993778622
Chiwanja Pvt,Clinic,Mzimba,Functional,198389.7926994823,0.0,198389.7926994823,100.0
Chibathi,Health Post,Mulanje,Functional,50152.73543512821,0.0,50152.73543512821,100.0
Chichiri ESCOM Clinic,Clinic,Blantyre,Functional,374828.4895989597,0.0,374828.4895989597,100.0
Chichiri Prison Clinic,Clinic,Blantyre,Functional,388056.9804928005,0.0,388056.9804928005,100.0
Chididi,Health Centre,Nkhotakota,Functional,18613.783154010773,83.04012012481688,18530.743033885956,99.55387833070934
Chididi,Health Centre,Nsanje,Functional,9835.120026826859,6165.21170258522,3669.908324241638,37.314321678143
chiendausiku,Health Centre,Balaka,Functional,14051.665501594543,7844.580094337463,6207.08540725708,44.173307474140465
Chifundo private clinic,Clinic,Ntcheu,Non-functional,41350.202577114105,57.87129592895507,41292.33128118515,99.86004591919222
Chifundo private clinic,Clinic,Blantyre,Functional,220022.67142537236,0.0,220022.67142537236,100.0
Chifunga Health center,Health Centre,Neno,Functional,3417.747963666916,0.0,3417.747963666916,100.0
Chogeli clinic,Clinic,Blantyre,Functional,274725.71906769276,0.0,274725.71906769276,100.0
Chigodi,Health Centre,Ntcheu,Functional,16608.88040971756,10923.905225753784,5684.975183963776,34.22852741258585
Chabisika,Clinic,Lilongwe,Non-functional,275616.61764068156,0.0,275616.61764068156,100.0
Chigumula Clinic,Clinic,Blantyre,Functional,66463.0162923336,0.0,66463.0162923336,100.0
Chihepusha,Health Post,Karonga,Functional,14821.19512629509,4531.931092262268,10289.264034032822,69.42263391282177
Chikande,Clinic,Ntcheu,Functional,13291.618148803711,12535.889805316925,755.7283434867859,5.68575123830806
Chikangawa,Health Centre,Mzimba,Functional,6384.575435638428,4379.99222946167,2004.5832061767578,31.397282816759592
Chikole,Clinic,Mangochi,Functional,18066.729038238525,3094.8646581172943,14971.864380121231,82.86981195341468
Chikowa,Health Centre,Ntcheu,Functional,12752.593901634216,6209.672156333923,6542.921745300293,51.306595315183934
Chikowa,Health Centre,Blantyre,Functional,25229.2409992218,16944.08825445175,8285.15274477005,32.83948472736697
Chizu,Health Centre,Lilongwe,Functional,22342.4977350235,22342.4977350235,0.0,0.0
chikuli,Dispensary,Mulanje,Functional,37413.220640182495,0.0,37413.220640182495,100.0
chikumbutso,Clinic,Kasungu,Functional,22180.420511722565,7166.69215965271,15013.728352069855,67.68910600290448
Chikuse,Health Centre,Dedza,Functional,16638.97129011154,0.0,16638.97129011154,100.0
Chikutu,Health Post,Karonga,Functional,1688.9297778937034,1428.3552137943916,260.57456409931183,15.428383554482611
Chikwawa,District Hospital,Chikwawa,Functional,29330.17762219906,4697.634477138519,24632.54314506054,83.98361394994406
Chikweo,Health Centre,Machinga,Functional,28704.957811832428,0.0,28704.957811832428,100.0
Chikwina,Health Centre,Nkhata Bay,Functional,6652.352909326553,6652.352909326553,0.0,0.0
Chilamba,Clinic,Dedza,Non-functional,18132.206441402435,5363.87265753746,12768.333783864975,70.41798153538676
Chilambwe,Health Centre,Nkhata Bay,Functional,14295.250738620758,10960.751434803009,3334.499303817749,23.325923866512536
Chilani,Health Centre,Blantyre,Functional,247107.62309917808,0.0,247107.62309917808,100.0
Chilani,Clinic,Nkhotakota,Functional,15240.386818647385,563.0501828193665,14677.336635828018,96.30553876670344
Child Legacy (Mkanga),Health Centre,Lilongwe,Functional,29481.373289108276,0.0,29481.373289108276,100.0
Chileka,Health Centre,Blantyre,Functional,30834.522742271423,0.0,30834.522742271423,100.0
Chileka,Health Centre,Lilongwe,Functional,34740.41932606697,5334.762843847275,29405.656482219696,84.64393076613092
Malamulo,Health Centre,Blantyre,Functional,28610.51780974865,6867.765068054199,21742.75274169445,75.99566315533758
Chilengo,Dispensary,Thyolo,Functional,32469.697286128998,3235.192970275879,29234.50431585312,90.03626999732471
Chilewani,Clinic,Lilongwe,Non-functional,370727.14892018586,0.0,370727.14892018586,100.0
Chirimba,Health Centre,Blantyre,Functional,345409.21693110466,0.0,345409.21693110466,100.0
Chilinda clinic,Health Post,Rumphi,Functional,201.3324947357178,201.3324947357178,0.0,0.0
Chilinde,Clinic,Lilongwe,Functional,523828.6118530277,0.0,523828.6118530277,100.0
chilingwe,Dispensary,Mulanje,Non-functional,29632.819632053375,4121.116838932037,25511.702793121338,86.09272796141786
Chilipa,Health Centre,Mangochi,Functional,18942.38562965393,18942.38562965393,0.0,0.0
Chilipa,Health Centre,Zomba,Functional,17600.62340593338,14682.63611125946,2917.9872946739197,16.57888602792462
Chilobwe Private Clinic,Clinic,Blantyre,Functional,245009.93934696913,0.0,245009.93934696913,100.0
Chilobwe,Health Centre,Lilongwe,Functional,23954.555094718933,11507.837366104126,12446.717728614807,51.959711542957585
Chilomoni pvt clinic,Clinic,Blantyre,Functional,225298.94628864527,0.0,225298.94628864527,100.0
Chilomoni,Health Centre,Blantyre,Functional,225406.0619903803,0.0,225406.0619903803,100.0
Chilonga,Health Centre,Mangochi,Functional,10484.472393989563,10484.472393989563,0.0,0.0
Chilukwa,Health Post,Mzimba,Functional,6537.751172065735,3421.123148918152,3116.628023147583,47.67125485693303
Chilumba Barracks,Health Centre,Karonga,Functional,12270.37579369545,610.8973770141602,11659.47841668129,95.02136375213512
Jetty,Hospital,Karonga,Functional,19171.164100408554,2809.206776380539,16361.957324028015,85.34670736911238
Chimaliro Health Centre,Health Centre,Thyolo,Functional,58507.748641729355,2863.8851742744446,55643.86346745491,95.10511814116902
Ali,Clinic,Lilongwe,Non-functional,54221.7741522789,0.0,54221.7741522789,100.0
Chimatiro,Dispensary,Balaka,Functional,14581.894909381866,3193.0563745498657,11388.838534832,78.1025964431037
Chitekwere,Health Centre,Lilongwe,Functional,22461.770920693874,10239.237595021725,12222.53332567215,54.414824943351256
Chimbira,Health Post,Machinga,Functional,8057.8886704444885,8057.8886704444885,0.0,0.0
Chimembe,Health Centre,Blantyre,Functional,13142.405190587044,10661.356000065804,2481.0491905212402,18.878197366021226
Chimoto,Health Centre,Dedza,Functional,28166.66134738922,81.08422231674194,28085.57712507248,99.71212696699583
Chimukusa,Clinic,Mzimba,Non-functional,40554.32053613663,26.22100830078125,40528.099527835846,99.93534349002982
Chimvu,Health Centre,Thyolo,Functional,63382.9682803154,11118.37372148037,52264.59455883503,82.4584205771042
Chimwala Health Centre,Clinic,Lilongwe,Functional,328060.2874993086,7193.119071006775,320867.1684283018,97.80737890409185
Chimwankango,Dispensary,Mchinji,Functional,6291.1886196136475,3787.309594154358,2503.8790254592896,39.79977674891358
Chimwawa,Health Centre,Chiradzulu,Non-functional,31553.125782728195,13026.154267072678,18526.971515655518,58.71675485728568
Chimwemwe,Clinic,Kasungu,Functional,24149.987022399902,0.0,24149.987022399902,100.0
Maseko,Dispensary,Zomba,Functional,118033.6796309948,0.0,118033.6796309948,100.0
Ching'oma ,Health Post,Nsanje,Functional,11638.230341911316,11638.230341911316,0.0,0.0
Chingadzi Hospital,Hospital,Thyolo,Functional,48707.53404760361,0.0,48707.53404760361,100.0
Chingale,Health Centre,Zomba,Functional,18059.20344901085,3941.650577068329,14117.55287194252,78.17372959888647
Chinguluwe,Health Centre,Ntchisi,Functional,15068.438403129578,0.0,15068.438403129578,100.0
Chinguluwe,Health Centre,Salima,Functional,11887.547416687012,5018.585790157318,6868.961626529694,57.78283262102883
Chinguma,Health Post,Zomba,Functional,1867.7806677818298,1626.0773787498474,241.70328903198242,12.940667670526244
Chinjobvu clinic,Clinic,Blantyre,Functional,302339.87239068747,0.0,302339.87239068747,100.0
Chinkhwiri,Health Centre,Dowa,Functional,19979.695682525635,16578.761214256287,3400.934468269348,17.021953298537106
Chinsasu,Clinic,Chitipa,Functional,5712.349570035934,0.0,5712.349570035934,100.0
Chintheche,Hospital,Nkhata Bay,Functional,18851.781030893326,18851.781030893326,0.0,0.0
Chinthembwe,Health Centre,Ntchisi,Functional,13998.789334774017,10576.324987888336,3422.464346885681,24.44828809862885
Chinyama,Health Centre,Kasungu,Functional,12609.42389535904,3329.4585280418396,9279.9653673172,73.59547465711528
Chinyama Health Centre,Health Centre,Mulanje,Functional,21337.162303209305,8883.981843471527,12453.180459737778,58.363808095815564
Chiole,Dispensary,Ntcheu,Non-functional,41507.50578832626,656.578498840332,40850.92728948593,98.41816922898559
Chioshya,Health Centre,Mchinji,Functional,24692.13974428177,7532.137981414795,17160.001762866974,69.49580692714534
Chipho,Health Centre,Thyolo,Functional,42322.644649744034,0.0,42322.644649744034,100.0
Chiphwanya,Health Centre,Dedza,Non-functional,28785.847362041473,6689.019757270813,22096.82760477066,76.76281794611576
Chipini,Health Centre,Zomba,Functional,17029.069583892822,12933.17785024643,4095.891733646393,24.052351853213093
Chipoka,Health Centre,Salima,Functional,16503.949491024017,12474.259390830994,4029.6901001930237,24.416519829902814
Chipolonga,Clinic,Machinga,Non-functional,31515.779428958893,27680.292469501495,3835.4869594573975,12.170052681397703
Chiponde,Dispensary,Mangochi,Functional,35685.64478588104,27449.333080291748,8236.311705589294,23.080181835044144
Chipulumutso,Clinic,Kasungu,Non-functional,28806.435688495636,2155.8000144958496,26650.635673999786,92.51625561104456
Chipumi,Health Centre,Mchinji,Functional,19636.769119262695,19636.769119262695,0.0,0.0
Chipwera,Health Post,Chitipa,Functional,3171.6177356243134,0.0,3171.6177356243134,100.0
Chiradzulu District Hospital,District Hospital,Chiradzulu,Functional,34060.02957415581,0.0,34060.02957415581,100.0
Chiringa,Clinic,Phalombe,Functional,24290.952628821135,0.0,24290.952628821135,100.0
Chiringa CHAM,Health Centre,Phalombe,Functional,23557.863222926855,0.0,23557.863222926855,100.0
Lilongwe private clinic,Clinic,Lilongwe,Non-functional,258478.18049314432,0.0,258478.18049314432,100.0
Chisala,Health Centre,Nkhata Bay,Functional,27594.037747442722,7.749802112579346,27586.287945330143,99.97191493980145
chisambo,Clinic,Mulanje,Functional,39808.8690302372,0.0,39808.8690302372,100.0
Chisenga,Health Post,Chitipa,Functional,4962.201124668121,64.59445858001708,4897.606666088104,98.6982700427255
chisepo,Health Centre,Dowa,Functional,21079.080092430115,10267.404953479767,10811.675138950348,51.29101977667906
Chisi ,Health Centre,Zomba,Functional,0.0,0.0,0.0,0.0
Chisimuka,Health Centre,Rumphi,Functional,9334.31320142746,0.0,9334.31320142746,100.0
Chinsinga,Health Centre,Kasungu,Functional,11949.145670890808,0.0,11949.145670890808,100.0
Chisitu,Health Centre,Mulanje,Functional,52451.70229744911,0.0,52451.70229744911,100.0
Chisoka Health centre,Health Centre,Thyolo,Functional,52772.15246677399,0.0,52772.15246677399,100.0
Chisomo,Clinic,Nkhotakota,Functional,14661.246295452118,1442.365756034851,13218.880539417267,90.16205220914767
Chisomo Dental Clinic.,Clinic,Thyolo,Non-functional,54752.79690170288,0.0,54752.79690170288,100.0
Chisomo,Clinic,Dedza,Non-functional,44758.11273443699,0.0,44758.11273443699,100.0
Chisunga,Health Post,Thyolo,Functional,2511.1211907863617,0.0,2511.1211907863617,100.0
Chisuwi,Health Post,Machinga,Functional,25552.69275546074,10579.690791368484,14973.001964092255,58.596571826632434
Chitala,Health Centre,Salima,Functional,16879.3251953125,10690.917927742004,6188.407267570496,36.662646142329535
Gombwa,Hospital,Blantyre,Functional,324858.1369576156,0.0,324858.1369576156,100.0
Chitedze,Health Centre,Lilongwe,Functional,36722.168653964996,3621.209599494934,33100.95905447006,90.13890047285118
Chitekesa,Health Centre,Phalombe,Functional,31244.38177537918,22239.02487540245,9005.35689997673,28.82232384918886
Chitekwe Arthur D. Arthur Gar,Clinic,Blantyre,Functional,199811.47115290165,0.0,199811.47115290165,100.0
Chitekwele,Health Post,Lilongwe,Non-functional,33808.7732591629,19245.8633351326,14562.909924030304,43.074351773717325
Chitera,Health Centre,Chiradzulu,Functional,30791.143215179443,7956.712746858597,22834.430468320847,74.159086295516
Chitete,Clinic,Mchinji,Non-functional,27050.476343154907,3512.39107131958,23538.085271835327,87.0154187794612
chithebe dispensary,Dispensary,Thyolo,Functional,46101.448980093,1918.4424421787262,44183.006537914276,95.83865044457252
Chitheka,Health Centre,Nkhata Bay,Functional,24241.37173986435,0.0,24241.37173986435,100.0
Chithumba Health Centre,Health Centre,Chikwawa,Functional,10927.320229530334,9604.78297328949,1322.5372562408447,12.103033758146653
Chitimba,Health Centre,Rumphi,Functional,8096.067923307419,7361.718756914139,734.34916639328,9.070442260979481
Chitipa,District Hospital,Chitipa,Functional,41547.15503036976,398.613214969635,41148.54181540012,99.04057638921783
Chitowo,Health Centre,Dedza,Functional,30596.123532533646,22615.669545412064,7980.453987121582,26.083219263498396
